workerid,rt,trial_type,trial_num,adj_positiveness,np_positiveness,context,np,adj,response,sim_glove
0,12247,free_class_elicitation,1,positive,positive,Veronica is walking outside and hears the cry of a rooster.,rooster,loud,sounds,0.13197335600852966
0,6518,free_class_elicitation,2,positive,neither-nor,The waitress brings Kim her food at the diner. Kim takes the first bite of her fruit.,fruit,warm,food,0.573560357093811
0,6050,free_class_elicitation,3,positive,positive,Stephen is sitting in a gymnasium.,gymnasium,loud,locations,0.0895923525094986
0,5734,free_class_elicitation,4,negative,positive,Sophie sees a giraffe at the zoo.,giraffe,short,giraffes,0.628443717956543
0,7155,free_class_elicitation,5,positive,negative,Michael is looking for a place to live and checks out an apartment.,apartment,large,apartments,0.7545885443687439
0,10107,free_class_elicitation,6,positive,positive,Stephanie takes a first sip from a cup of coffee.,coffee,hot,drinks,0.7287518978118896
0,8113,free_class_elicitation,7,negative,negative,Michelle lifts up a baby named Allen.,baby,light,things,0.5007268190383911
0,3953,free_class_elicitation,8,negative,neither-nor,Jennifer is helping a friend move and picks up a box.,box,light,boxes,0.730573832988739
0,7438,free_class_elicitation,9,negative,positive,Gary hears somebody playing the drums.,drums,quiet,musical instruments,
0,4781,free_class_elicitation,10,positive,negative,Kathleen looks at the price of a box of wine.,box of wine,expensive,wines,
0,4002,free_class_elicitation,11,positive,neither-nor,Mika is at the butchershop and looks at the price of a piece of chicken.,chicken,expensive,meats,0.6213933825492859
0,5832,free_class_elicitation,12,positive,negative,Greg steps outside on a day in Winter.,Winter,warm,winter days,
0,4846,free_class_elicitation,13,negative,positive,Claire sees a basketball player.,basketball player,short,basketball players,
0,5512,free_class_elicitation,14,negative,negative,Jasmine is working in the machine shop and picks up a piece of styrofoam.,styrofoam,light,objects,0.21036916971206665
0,5757,free_class_elicitation,15,positive,neither-nor,Cameron steps outside during dusk.,dusk,light,dark days,
0,3365,free_class_elicitation,16,negative,neither-nor,Kim is visiting a friend and sees their pet cat.,cat,small,cats,0.7323004007339478
0,4242,free_class_elicitation,17,negative,neither-nor,Julia is at the zoo watching an eel travel.,eel,slow,animals,0.15070052444934845
0,3603,free_class_elicitation,18,negative,negative,Robert is thinking about watching something on Netflix and looks at the duration of a TV show.,TV show,short,shows,
1,10371,free_class_elicitation,1,positive,negative,Laura is walking outside and hears the cry of a hummingbird.,hummingbird,loud,birds,0.3009658455848694
1,10065,free_class_elicitation,2,positive,positive,The waitress brings Kim her food at the diner. Kim takes the first bite of her burger.,burger,warm,burgers,0.7014809846878052
1,7046,free_class_elicitation,3,positive,neither-nor,Angela is visiting a friend and sees their pet cat.,cat,large,cats,0.7323004007339478
1,8930,free_class_elicitation,4,positive,positive,Robert sees a basketball player.,basketball player,tall,basketball players,
1,5685,free_class_elicitation,5,positive,negative,Alicia takes a first sip from a cup of water.,water,hot,water,1.0
1,6624,free_class_elicitation,6,positive,neither-nor,Lee is at the butchershop and looks at the price of a piece of chicken.,chicken,expensive,chicken,1.0
1,8566,free_class_elicitation,7,positive,neither-nor,Maya lifts up a kid named Allen.,kid,heavy,Allen,
1,5407,free_class_elicitation,8,negative,negative,Kim hears somebody playing the violin.,violin,quiet,violin,0.9999999403953552
1,10782,free_class_elicitation,9,negative,neither-nor,Alexander is sitting in a classroom.,classroom,quiet,classrooms,0.8148455619812012
1,9158,free_class_elicitation,10,positive,negative,Anthony sees a child named Pat.,child,tall,children,0.8553194999694824
1,10397,free_class_elicitation,11,negative,neither-nor,John is thinking about watching something on Netflix and looks at the duration of a documentary.,documentary,short,documentaries,0.7954923510551453
1,7448,free_class_elicitation,12,negative,neither-nor,Stephen is looking for a place to live and checks out a townhouse.,townhouse,small,townhouse,1.0
1,12114,free_class_elicitation,13,negative,positive,Gary steps outside during the morning.,the morning,dark,mornings,
1,4536,free_class_elicitation,14,negative,negative,Daniel steps outside on a day in Winter.,Winter,cold,winters,
1,7501,free_class_elicitation,15,negative,positive,Michael is working in the machine shop and picks up a piece of steel.,steel,light,steel,0.9999999403953552
1,8499,free_class_elicitation,16,negative,positive,Claire looks at the price of a bottle of top-shelf liquor.,bottle of top-shelf liquor,cheap,alcohol,
1,6783,free_class_elicitation,17,positive,positive,Sophie is helping a friend move and picks up a piece of furniture.,piece of furniture,heavy,furniture,
1,6230,free_class_elicitation,18,negative,negative,Julia is at the zoo watching a slug travel.,slug,slow,slugs,0.5862656235694885
2,5821,free_class_elicitation,1,negative,positive,Josh is working in the machine shop and picks up a piece of steel.,steel,light,20,0.3487318158149719
2,4607,free_class_elicitation,2,positive,positive,John sees an adult named Pat.,adult,tall,10,0.44051164388656616
2,4119,free_class_elicitation,3,negative,negative,Gary sees a jockey.,jockey,short,15,0.11630497127771378
2,4334,free_class_elicitation,4,positive,negative,Lucas steps outside during the evening.,the evening,light,14,
2,8722,free_class_elicitation,5,negative,positive,The waitress brings Michelle her food at the diner. Michelle takes the first bite of her burger.,burger,cold,20,0.1391184777021408
2,33080,free_class_elicitation,6,negative,positive,Angela is thinking about watching something on Netflix and looks at the duration of a movie.,movie,short,Activity Ratios,
2,6086,free_class_elicitation,7,negative,neither-nor,Lee hears somebody playing the piano.,piano,quiet,50,0.18715035915374756
2,6045,free_class_elicitation,8,positive,neither-nor,Eric lifts up a kid named Allen.,kid,heavy,30,0.23326745629310608
2,5575,free_class_elicitation,9,positive,negative,The mailman drops off an envelope for Tanya. Tanya picks it up.,envelope,heavy,40,0.10279475152492523
2,5672,free_class_elicitation,10,positive,positive,Cameron is at the butchershop and looks at the price of a piece of steak.,steak,expensive,50,0.11312618851661682
2,7595,free_class_elicitation,11,positive,negative,Kathleen is visiting a friend and sees their pet mouse.,mouse,large,30,0.1457078754901886
2,4789,free_class_elicitation,12,negative,neither-nor,Veronica is helping a friend move and picks up a box.,box,light,40,0.35430487990379333
2,4797,free_class_elicitation,13,negative,negative,Natalia takes a first sip from a cup of water.,water,cold,50,0.4390360713005066
2,7806,free_class_elicitation,14,positive,neither-nor,Gabriel is walking outside and hears the cry of a parrot.,parrot,loud,60,-0.06585884839296341
2,5604,free_class_elicitation,15,positive,positive,Maya looks at the price of a bottle of top-shelf liquor.,bottle of top-shelf liquor,expensive,20,
2,9323,free_class_elicitation,16,negative,neither-nor,Michael is sitting in a classroom.,classroom,quiet,30,0.2147848755121231
2,4049,free_class_elicitation,17,negative,negative,Robert is at the zoo watching a slug travel.,slug,slow,20,0.09005183726549149
2,3352,free_class_elicitation,18,positive,neither-nor,Melinda steps outside on a day in Fall.,Fall,warm,50,
3,14623,free_class_elicitation,1,negative,positive,William is visiting a friend and sees their pet dog.,dog,small,pet dogs,
3,13680,free_class_elicitation,2,positive,neither-nor,Claire looks at the price of a bottle of wine.,bottle of wine,expensive,bottle of wines,
3,8152,free_class_elicitation,3,negative,negative,Maya is looking for a place to live and checks out an apartment.,apartment,small,apartments,0.7545885443687439
3,13608,free_class_elicitation,4,negative,neither-nor,Lucas sees a baseball player.,baseball player,short,baseball players,
3,8743,free_class_elicitation,5,positive,negative,Simon lifts up a baby named Allen.,baby,heavy,babies,0.7870863676071167
3,8961,free_class_elicitation,6,positive,negative,Natalia steps outside on a day in Winter.,Winter,warm,winters,
3,21911,free_class_elicitation,7,positive,positive,Veronica sees a giraffe at the zoo.,giraffe,tall,giraffes,0.628443717956543
3,10368,free_class_elicitation,8,negative,positive,Tom is thinking about watching something on Netflix and looks at the duration of a movie.,movie,short,movies,0.8959326148033142
3,13888,free_class_elicitation,9,negative,positive,Greg is walking outside and hears the cry of a rooster.,rooster,quiet,roosters,0.3816651701927185
3,21264,free_class_elicitation,10,positive,neither-nor,Julia hears somebody playing the piano.,piano,loud,pianos,0.6042563319206238
3,12599,free_class_elicitation,11,positive,neither-nor,Tanya is sitting in a classroom.,classroom,loud,classrooms,0.8148455619812012
3,14104,free_class_elicitation,12,positive,positive,Kim takes a first sip from a cup of coffee.,coffee,hot,cups of coffee,
3,11592,free_class_elicitation,13,negative,neither-nor,The waitress brings Lee his food at the diner. Lee takes the first bite of his fruit.,fruit,cold,meals,0.3777737021446228
3,8449,free_class_elicitation,14,negative,negative,The mailman drops off an envelope for David. David picks it up.,envelope,light,envelopes,0.7296762466430664
3,10496,free_class_elicitation,15,positive,negative,Monica steps outside during the evening.,the evening,light,evenings,
3,7464,free_class_elicitation,16,positive,positive,Michael is at the zoo watching a snake travel.,snake,fast,snakes,0.7458169460296631
3,7183,free_class_elicitation,17,negative,neither-nor,Gary is helping a friend move and picks up a box.,box,light,boxes,0.730573832988739
3,10935,free_class_elicitation,18,negative,negative,Alicia sees a child named Pat.,child,short,children,0.8553194999694824
4,7369,free_class_elicitation,1,positive,positive,Robert is visiting a friend and sees their pet dog.,dog,large,dogs,0.8344309329986572
4,9051,free_class_elicitation,2,negative,positive,Kim is helping a friend move and picks up a piece of furniture.,piece of furniture,light,furniture,
4,8540,free_class_elicitation,3,positive,negative,The waitress brings Melinda her food at the diner. Melinda takes the first bite of her ice cream.,ice cream,warm,ice cream,
4,6271,free_class_elicitation,4,negative,neither-nor,Mika is at the zoo watching an eel travel.,eel,slow,eels,0.619676411151886
4,5584,free_class_elicitation,5,negative,positive,Alexander hears somebody playing the drums.,drums,quiet,instruments,0.5597385168075562
4,13248,free_class_elicitation,6,positive,neither-nor,Greg sees a baseball player.,baseball player,tall,men,
4,19992,free_class_elicitation,7,negative,neither-nor,Michael takes a first sip from a cup of tea.,tea,cold,tea,1.0
4,6044,free_class_elicitation,8,positive,positive,Natalia sees an adult named Pat.,adult,tall,adults,0.7610254883766174
4,15622,free_class_elicitation,9,negative,negative,Jasmine looks at the price of a box of wine.,box of wine,cheap,wine,
4,9307,free_class_elicitation,10,negative,positive,Tom is walking outside and hears the cry of a rooster.,rooster,quiet,roosters,0.3816651701927185
4,17824,free_class_elicitation,11,positive,positive,Angela steps outside during the morning.,the morning,light,mornings,
4,6039,free_class_elicitation,12,positive,neither-nor,Alicia is working in the machine shop and picks up a piece of plastic.,plastic,heavy,plastic,1.0
4,3961,free_class_elicitation,13,negative,negative,John lifts up a baby named Allen.,baby,light,people,0.44789233803749084
4,3886,free_class_elicitation,14,negative,neither-nor,Laura sees a monkey at the zoo.,monkey,short,monkeys,0.726420521736145
4,4493,free_class_elicitation,15,positive,negative,William is thinking about watching something on Netflix and looks at the duration of a TV show.,TV show,long,shows,
4,5181,free_class_elicitation,16,positive,negative,Gary is sitting in a library.,library,loud,libraries,0.7932377457618713
4,5601,free_class_elicitation,17,positive,neither-nor,Daniel is looking for a place to live and checks out a townhouse.,townhouse,large,townhouses,0.6502399444580078
4,3479,free_class_elicitation,18,negative,negative,Stephen is at the butchershop and looks at the price of a piece of pork.,pork,cheap,meat,0.8260456323623657
5,17438,free_class_elicitation,1,negative,negative,Mika is visiting a friend and sees their pet mouse.,mouse,small,animals.,
5,9165,free_class_elicitation,2,positive,neither-nor,Greg sees a monkey at the zoo.,monkey,tall,monkey&quotechars.,
5,13944,free_class_elicitation,3,negative,neither-nor,The waitress brings Laura her food at the diner. Laura takes the first bite of her fruit.,fruit,cold,fruits she has eaten.,
5,17042,free_class_elicitation,4,positive,positive,Cameron is helping a friend move and picks up a piece of furniture.,piece of furniture,heavy,furniture.,
5,9209,free_class_elicitation,5,positive,neither-nor,Eric sees a teenager named Pat.,teenager,tall,teenager.,
5,12737,free_class_elicitation,6,positive,negative,Tom is sitting in a library.,library,loud,library&quotechars he has been too.,
5,15615,free_class_elicitation,7,negative,positive,Melinda is thinking about watching something on Netflix and looks at the duration of a movie.,movie,short,movies on Netflix.,
5,12560,free_class_elicitation,8,negative,negative,Claire is working in the machine shop and picks up a piece of styrofoam.,styrofoam,light,materials in shop.,
5,9810,free_class_elicitation,9,positive,negative,Tanya steps outside on a day in Winter.,Winter,warm,Winter days.,
5,15713,free_class_elicitation,10,positive,neither-nor,Michelle is at the zoo watching an eel travel.,eel,fast,eel,1.0
5,49946,free_class_elicitation,11,negative,neither-nor,Alexander is looking for a place to live and checks out a townhouse.,townhouse,small,townhouse.,
5,6079,free_class_elicitation,12,negative,negative,Daniel sees a jockey.,jockey,short,Jockey.,
5,15097,free_class_elicitation,13,positive,positive,Julia hears somebody playing the drums.,drums,loud,drummer.,
5,10479,free_class_elicitation,14,positive,positive,Josh is walking outside and hears the cry of a rooster.,rooster,loud,cry of a roosters.,
5,10032,free_class_elicitation,15,negative,neither-nor,Maya takes a first sip from a cup of tea.,tea,cold,sip of tea.,
5,13137,free_class_elicitation,16,positive,negative,Lee steps outside during the evening.,the evening,light,days in evening.,
5,8395,free_class_elicitation,17,negative,positive,The mailman drops off a box for William. William picks it up.,box,light,box.,
5,7999,free_class_elicitation,18,negative,positive,Alicia looks at the price of a bottle of top-shelf liquor.,bottle of top-shelf liquor,cheap,bottle of liquor.,
6,17101,free_class_elicitation,1,positive,negative,Gabriel sees a jockey.,jockey,tall,people,0.10459363460540771
6,16795,free_class_elicitation,2,positive,neither-nor,Veronica is visiting a friend and sees their pet cat.,cat,large,cats,0.7323004007339478
6,26159,free_class_elicitation,3,positive,negative,Michelle is helping a friend move and picks up a piece of clothing.,piece of clothing,heavy,pieces of clothing,
6,22394,free_class_elicitation,4,negative,negative,The mailman drops off an envelope for David. David picks it up.,envelope,light,envelopes,0.7296762466430664
6,15249,free_class_elicitation,5,negative,positive,Kim is working in the machine shop and picks up a piece of steel.,steel,light,pieces of steel,
6,68210,free_class_elicitation,6,positive,positive,Claire is walking outside and hears the cry of a rooster.,rooster,loud,sounds near by,
6,15214,free_class_elicitation,7,negative,positive,Lucas takes a first sip from a cup of coffee.,coffee,cold,cups of coffee,
6,68842,free_class_elicitation,8,negative,negative,Mika is sitting in a library.,library,quiet,places,0.38692426681518555
6,35618,free_class_elicitation,9,positive,positive,Maya steps outside on a day in Summer.,Summer,warm,days,
6,31943,free_class_elicitation,10,negative,neither-nor,The waitress brings Lee his food at the diner. Lee takes the first bite of his fruit.,fruit,cold,food on his plate,
6,13376,free_class_elicitation,11,negative,negative,Josh hears somebody playing the violin.,violin,quiet,music,0.51483553647995
6,13753,free_class_elicitation,12,positive,neither-nor,Tanya is looking for a place to live and checks out a townhouse.,townhouse,large,housing options,
6,30206,free_class_elicitation,13,negative,positive,Charles is at the butchershop and looks at the price of a piece of steak.,steak,cheap,butchershops,
6,12594,free_class_elicitation,14,positive,positive,Laura steps outside during the morning.,the morning,light,times of the day,
6,15583,free_class_elicitation,15,negative,neither-nor,Alicia looks at the price of a bottle of wine.,bottle of wine,cheap,bottles of wine,
6,34061,free_class_elicitation,16,positive,negative,Stephen sees a penguin at the zoo.,penguin,tall,birds,0.36270153522491455
6,10373,free_class_elicitation,17,positive,neither-nor,Stephanie sees a teenager named Pat.,teenager,tall,teenagers,0.6246643662452698
6,15454,free_class_elicitation,18,negative,neither-nor,Daniel lifts up a kid named Allen.,kid,light,kids that age,
7,23795,free_class_elicitation,1,positive,positive,John is visiting a friend and sees their pet dog.,dog,large,dogs,0.8344309329986572
7,31170,free_class_elicitation,2,negative,positive,Tom is helping a friend move and picks up a piece of furniture.,piece of furniture,light,furniture,
7,24470,free_class_elicitation,3,positive,negative,The waitress brings Jasmine her food at the diner. Jasmine takes the first bite of her ice cream.,ice cream,warm,ice cream,
7,13113,free_class_elicitation,4,negative,positive,Charles steps outside on a day in Summer.,Summer,cold,days,
7,50561,free_class_elicitation,5,negative,positive,Lucas is thinking about watching something on Netflix and looks at the duration of a movie.,movie,short,movies,0.8959326148033142
7,10754,free_class_elicitation,6,positive,neither-nor,Eric is walking outside and hears the cry of a parrot.,parrot,loud,parrots,0.6655376553535461
7,17823,free_class_elicitation,7,positive,positive,The mailman drops off a box for Kim. Kim picks it up.,box,heavy,boxes,0.730573832988739
7,12510,free_class_elicitation,8,negative,negative,Maya steps outside during the evening.,the evening,dark,nights,
7,25209,free_class_elicitation,9,negative,neither-nor,Claire sees a monkey at the zoo.,monkey,short,monkeys ,
