degree,superordinate,mean_exp_ratio,est.cc,sqErr
darkness,birds,0.7929997152144531,0.62,0.02993
hardness,surfaces,0.7406842580369324,0.396,0.11881
hardness,sweets,0.8425630261694149,0.592,0.06278
height,animals,0.8118509397282685,0.857,0.00204
height,people,0.638185537423296,0.627,1.3e-4
length_duration,books,0.8238184218852,0.805,3.5e-4
length_duration,dogs,0.6481615430972426,0.273,0.14075
loudness,animals,0.8550045312374976,0.578,0.07673
loudness,areas,0.6417954980500267,0.389,0.06391
price,alcohol,0.7666329220100291,0.887,0.01449
price,statues,0.6326422847590735,0.151,0.23198
size,animals,0.8345911485761177,0.792,0.00181
size,plants,0.9383772591552539,0.931,5e-5
speed,animals,0.6972138184551911,0.446,0.06311
speed,people,0.663070582023367,0.722,0.00347
strength,people,0.8292525928935435,0.612,0.0472
strength,storms,0.9664237785705894,0.654,0.09761
temperature,food,0.7514436718173066,0.673,0.00615
temperature,seasons,0.6955746422414241,0.52,0.03083
weight,animals,0.9094737838436882,0.671,0.05687
weight,people,0.8284865973846394,0.762,0.00442
width,holes,0.7630504140242881,0.728,0.00123
width,ways,0.7567808887251006,0.248,0.25886
